image,prob0,prob1
val/ants/459442412_412fecf3fe.jpg,0.8487301468849182,0.15126977860927582
val/ants/800px-Meat_eater_ant_qeen_excavating_hole.jpg,0.8860489130020142,0.11395106464624405
val/ants/892676922_4ab37dce07.jpg,0.025938376784324646,0.9740616083145142
val/ants/F.pergan.28(f).jpg,0.9907863736152649,0.009213573299348354
val/ants/1247887232_edcb61246c.jpg,0.89380943775177,0.10619061440229416
val/ants/181942028_961261ef48.jpg,0.9269527196884155,0.07304727286100388
val/ants/1073564163_225a64f170.jpg,0.9459297060966492,0.054070211946964264
val/ants/2238242353_52c82441df.jpg,0.8342122435569763,0.1657877415418625
val/ants/205398178_c395c5e460.jpg,0.9210028052330017,0.07899711281061172
val/ants/263615709_cfb28f6b8e.jpg,0.9853128790855408,0.01468715351074934
val/ants/94999827_36895faade.jpg,0.9851369857788086,0.014862949959933758
val/ants/436944325_d4925a38c7.jpg,0.9927393794059753,0.0072606815956532955
val/ants/161076144_124db762d6.jpg,0.8798993825912476,0.12010061740875244
val/ants/147542264_79506478c2.jpg,0.913484513759613,0.08651541918516159
val/ants/239161491_86ac23b0a3.jpg,0.9997890591621399,0.00021094198746141046
val/ants/1053149811_f62a3410d3.jpg,0.938384473323822,0.06161554157733917
val/ants/1124525276_816a07c17f.jpg,0.9763946533203125,0.023605328053236008
val/ants/2211974567_ee4606b493.jpg,0.9877177476882935,0.012282174080610275
val/ants/2191997003_379df31291.jpg,0.9930053353309631,0.0069946711882948875
val/ants/183260961_64ab754c97.jpg,0.8927352428436279,0.10726474970579147
val/ants/562589509_7e55469b97.jpg,0.8795652389526367,0.12043475359678268
val/ants/ants-devouring-remains-of-large-dead-insect-on-red-tile-in-Stellenbosch-South-Africa-closeup-1-DHD.jpg,0.9987975358963013,0.00120243348646909
val/ants/751649788_78dd7d16ce.jpg,0.8745944499969482,0.12540555000305176
val/ants/157401988_d0564a9d02.jpg,0.8940045237541199,0.10599549859762192
val/ants/2039585088_c6f47c592e.jpg,0.994260311126709,0.0057397386990487576
val/ants/153320619_2aeb5fa0ee.jpg,0.968563437461853,0.03143659979104996
val/ants/649407494_9b6bc4949f.jpg,0.5859428644180298,0.4140571355819702
val/ants/470127071_8b8ee2bd74.jpg,0.8011699318885803,0.19883009791374207
val/ants/Hormiga.jpg,0.857171893119812,0.142828106880188
val/ants/502717153_3e4865621a.jpg,0.9843254089355469,0.01567455567419529
val/ants/573151833_ebbc274b77.jpg,0.985893726348877,0.014106318354606628
val/ants/57264437_a19006872f.jpg,0.9160169959068298,0.08398301154375076
val/ants/540543309_ddbb193ee5.jpg,0.7631339430809021,0.23686599731445312
val/ants/2255445811_dabcdf7258.jpg,0.9644209742546082,0.03557898849248886
val/ants/445356866_6cb3289067.jpg,0.9915176033973694,0.0084823714569211
val/ants/8124241_36b290d372.jpg,0.9105530381202698,0.08944695442914963
val/ants/Ant-1818.jpg,0.9973987340927124,0.002601316664367914
val/ants/208072188_f293096296.jpg,0.7379421591758728,0.2620577812194824
val/ants/2104709400_8831b4fc6f.jpg,0.9990465044975281,0.0009534463752061129
val/ants/159515240_d5981e20d1.jpg,0.8575991988182068,0.1424008011817932
val/ants/518746016_bcc28f8b5b.jpg,0.9968748092651367,0.0031251918990164995
val/ants/10308379_1b6c72e180.jpg,0.9512218832969666,0.04877810180187225
val/ants/172772109_d0a8e15fb0.jpg,0.596530556678772,0.4034695327281952
val/ants/1440002809_b268d9a66a.jpg,0.9141288995742798,0.0858711302280426
val/ants/1358854066_5ad8015f7f.jpg,0.8259703516960144,0.1740296185016632
val/ants/412436937_4c2378efc2.jpg,0.9946516156196594,0.005348370410501957
